proteinID domain domStart domEnd
A2VEC9 IPR001007 882 938
A2VEC9 IPR001007 1870 1925
A2VEC9 IPR001007 4119 4175
A2VEC9 IPR001007 976 1044
A2VEC9 IPR001007 2677 2731
A2VEC9 IPR001007 2947 3001
A2VEC9 IPR001007 3144 3199
A2VEC9 IPR001007 3367 3424
A2VEC9 IPR001846 185 408
A2VEC9 IPR001846 553 773
A2VEC9 IPR001846 1003 1219
A2VEC9 IPR002919 464 526
A2VEC9 IPR002919 822 882
A2VEC9 IPR002919 922 976
A2VEC9 IPR002919 1270 1333
A2VEC9 IPR002919 1810 1869
A2VEC9 IPR002919 2632 2677
A2VEC9 IPR002919 2882 2947
A2VEC9 IPR002919 3087 3144
A2VEC9 IPR002919 3315 3365
A2VEC9 IPR002919 3529 3585
A2VEC9 IPR002919 4058 4117
A2VEC9 IPR002919 4422 4480
A2VEC9 IPR002919 4674 4725
A2VEC9 IPR002919 4817 4874
A2VEC9 IPR002919 4928 4986
A2VEC9 IPR006207 5041 5140
A2VEC9 IPR008037 890 919
A2VEC9 IPR014853 387 466
A2VEC9 IPR014853 752 824
A2VEC9 IPR014853 1198 1272
A3KFT3 IPR017452 41 290
A3KMH1 IPR002035 1711 1901
A3KMH1 IPR027417 433 695
A3KMH1 IPR027417 708 991
A3KMH1 IPR027417 74 297
A3KMH1 IPR011704 105 261
A3KMH1 IPR011704 442 600
A3KMH1 IPR011704 776 914
A3KN83 IPR026937 872 1148
A3KN83 IPR027417 242 514
A3KN83 IPR027417 926 1038
A4D0S4 IPR002049 265 331
A4D0S4 IPR002049 506 579
A4D0S4 IPR002049 1128 1174
A4D0S4 IPR002049 863 913
A4D0S4 IPR008211 22 264
A4D0S4 IPR013015 545 763
A4D0S4 IPR002049 332 395
A4D0S4 IPR002049 455 508
A4D0S4 IPR002049 769 819
A4D0S4 IPR002049 911 972
A4D0S4 IPR002049 1022 1082
A4D0S4 IPR002049 395 457
A4D0S4 IPR002049 817 865
A4D0S4 IPR002049 911 972
A4D0S4 IPR002049 1080 1130
A4D0S4 IPR002049 970 1024
A4D0V7 IPR025883 583 667
A4D126 IPR029044 46 280
A4D1B5 IPR028010 642 749
A4D1E1 IPR007087 57 79
A4D1E1 IPR022755 55 82
A4D1E9 IPR027417 149 354
A4D1E9 IPR006169 14 147
A4D1P6 IPR015943 401 741
A4D1S0 IPR016187 255 406
A4D1T9 IPR009003 9 233
A4D256 IPR029021 121 456
A4D256 IPR003595 351 444
A4D256 IPR029260 129 266
A4D2B0 IPR001279 65 243
A4D2G3 IPR017452 40 289
A4D2P6 IPR001478 3 85
A4D2P6 IPR001478 276 357
A4D2P6 IPR015425 820 1211
A4FU01 IPR029021 196 641
A4FU01 IPR011993 43 174
A4FU01 IPR022587 552 677
A4FU49 IPR001452 61 137
A4FU49 IPR011511 70 122
A4FU49 IPR013315 67 86
A4FU49 IPR013315 87 101
A4FU49 IPR013315 104 125
A4FU69 IPR011992 856 987
A4FU69 IPR029016 1034 1159
A4QPB2 IPR011042 2 229
A4QPH2 IPR011009 307 592
A4QPH2 IPR011009 195 278
A5D8T8 IPR000742 228 261
A5D8T8 IPR000742 263 292
A5D8T8 IPR016187 297 437
A5D8T8 IPR014044 14 223
A5D8V6 IPR009851 5 167
A5D8W1 IPR016024 134 671
A5LHX3 IPR029055 27 250
A5PLK6 IPR016137 644 754
A5PLK6 IPR016137 374 494
A5PLL1 IPR020683 9 140
A5PLL7 IPR019547 85 261
A5X5Y0 IPR006029 247 454
A5X5Y0 IPR006202 52 247
A5X5Y0 IPR027361 247 351
A5X5Y0 IPR027361 409 454
A5YKK6 IPR007196 1998 2357
A5YKK6 IPR024557 1387 1534
A5YKK6 IPR032191 1089 1311
A5YKK6 IPR032193 815 1003
A5YKK6 IPR032194 501 656
A5YM72 IPR011761 516 720
A5YM72 IPR013816 84 109
A5YM72 IPR013816 531 803
A6BM72 IPR000742 95 130
A6BM72 IPR000742 141 173
A6BM72 IPR000742 181 216
A6BM72 IPR000742 224 259
A6BM72 IPR000742 267 302
A6BM72 IPR000742 310 345
A6BM72 IPR000742 399 434
A6BM72 IPR000742 442 477
A6BM72 IPR000742 488 520
A6BM72 IPR000742 571 606
A6BM72 IPR000742 659 694
A6BM72 IPR000742 705 737
A6BM72 IPR000742 748 780
A6BM72 IPR000742 788 823
A6BM72 IPR000742 357 391
A6BM72 IPR000742 531 563
A6BM72 IPR000742 617 651
A6BM72 IPR002049 189 271
A6BM72 IPR002049 275 358
A6BM72 IPR002049 536 619
A6BM72 IPR002049 621 665
A6BM72 IPR002049 667 706
A6BM72 IPR002049 753 794
A6BM72 IPR002049 796 825
A6BM72 IPR002049 146 187
A6BM72 IPR002049 407 446
A6BM72 IPR002049 493 532
A6BM72 IPR002049 710 749
A6BM72 IPR011489 24 101
A6BM72 IPR002049 362 407
A6BM72 IPR002049 450 495
A6H8M9 IPR015919 236 649
A6H8Y1 IPR009057 299 350
A6NC57 IPR020683 32 263
A6NCF5 IPR011333 1 67
A6NCF5 IPR011705 75 176
A6NCF5 IPR015915 247 510
A6NCI4 IPR002035 957 1132
A6NCI4 IPR002035 167 328
A6NCI4 IPR002035 507 668
A6NCS4 IPR009057 113 194
A6NCV1 IPR017452 39 288
A6ND48 IPR017452 39 288
A6ND91 IPR002811 173 260
A6ND91 IPR005106 13 123
A6ND91 IPR016040 8 157
A6NDA9 IPR000483 200 251
A6NDA9 IPR013783 244 346
A6NDA9 IPR003961 367 430
A6NDA9 IPR003599 259 345
A6NDA9 IPR032675 37 253
A6NDH6 IPR017452 41 290
A6NDI0 IPR000315 88 129
A6NDI0 IPR013083 7 74
A6NDI0 IPR001870 269 452
A6NDI0 IPR003877 338 452
A6NDI0 IPR013320 279 450
A6NDX5 IPR001909 38 113
A6NDX5 IPR013087 151 178
A6NDX5 IPR013087 235 262
A6NDX5 IPR013087 305 334
A6NDX5 IPR013087 443 473
A6NDX5 IPR013087 498 528
A6NDX5 IPR013087 631 661
A6NDX5 IPR013087 686 716
A6NDX5 IPR013087 263 278
A6NDX5 IPR013087 533 550
A6NDX5 IPR013087 473 500
A6NDX5 IPR013087 549 632
A6NDX5 IPR013087 661 688
A6NDX5 IPR013087 333 444
A6NDX5 IPR013087 205 235
A6NDX5 IPR013087 277 306
A6NDX5 IPR013087 473 500
A6NDX5 IPR013087 549 632
A6NDX5 IPR013087 661 688
A6NDX5 IPR013087 333 444
A6NDX5 IPR013087 277 306
A6NE52 IPR015943 200 234
A6NE52 IPR015943 268 496
A6NE52 IPR015943 552 639
A6NE52 IPR015943 676 747
A6NED2 IPR009091 7 77
A6NED2 IPR009091 121 370
A6NEL2 IPR020683 626 724
A6NER3 IPR031320 1 117
A6NES4 IPR016024 176 240
A6NES4 IPR016024 270 357
A6NES4 IPR016024 384 474
A6NES4 IPR016024 566 636
A6NES4 IPR016024 774 1283
A6NES4 IPR016024 1313 1661
A6NET4 IPR017452 41 288
A6NF34 IPR000095 382 414
A6NF34 IPR002035 71 251
A6NF34 IPR008400 249 348
A6NF34 IPR013783 251 335
A6NF89 IPR017452 39 288
A6NFD8 IPR003650 86 126
A6NFD8 IPR011598 10 71
A6NFK2 IPR001305 196 247
A6NFN9 IPR029071 1 82
A6NFN9 IPR020683 158 300
A6NGB9 IPR003124 43 69
A6NGD5 IPR008916 36 148
A6NGD5 IPR013087 412 439
A6NGD5 IPR013087 439 495
A6NGD5 IPR013087 355 386
A6NGD5 IPR013087 384 413
A6NGE4 IPR015943 100 116
A6NGE4 IPR015943 183 518
A6NGE7 IPR018020 7 167
A6NGQ2 IPR031952 23 132
A6NGR9 IPR016024 355 661
A6NGR9 IPR016024 237 317
A6NGY5 IPR017452 50 301
A6NH00 IPR017452 39 288
A6NHA9 IPR017452 39 285
A6NHG9 IPR017452 41 290
A6NHL2 IPR003008 1 275
A6NHL2 IPR008280 253 444
A6NHL2 IPR018316 255 400
A6NHL2 IPR023123 391 444
A6NHN0 IPR001073 336 473
A6NHN0 IPR008983 341 470
A6NHR9 IPR003594 129 278
A6NHR9 IPR003594 314 358
A6NHR9 IPR010935 1688 1875
A6NI15 IPR011598 116 185
A6NIJ9 IPR017452 39 288
A6NIM6 IPR020846 44 243
A6NIM6 IPR020846 307 405
A6NIM6 IPR020846 433 528
A6NIV6 IPR032675 28 484
A6NJ78 IPR023397 180 295
A6NJ78 IPR029063 72 181
A6NJ78 IPR029063 293 337
A6NJ78 IPR029063 373 407
A6NJG2 IPR020683 115 229
A6NJG6 IPR009057 60 140
A6NJL1 IPR008916 36 148
A6NJL1 IPR013087 354 383
A6NJL1 IPR013087 383 494
A6NJZ3 IPR017452 39 288
A6NK53 IPR001909 2 79
A6NK53 IPR013087 563 592
A6NK53 IPR013087 398 428
A6NK53 IPR013087 319 343
A6NK53 IPR013087 344 375
A6NK53 IPR013087 442 453
A6NK53 IPR013087 452 481
A6NK53 IPR013087 508 563
A6NK53 IPR013087 592 661
A6NK53 IPR013087 452 481
A6NK53 IPR013087 480 508
A6NK89 IPR000159 1 133
A6NK89 IPR029071 8 39
A6NK89 IPR029071 86 134
A6NK97 IPR020846 94 512
A6NKC9 IPR000980 48 148
A6NKF2 IPR001606 97 219
A6NKF2 IPR023334 304 389
A6NKG5 IPR021109 412 512
A6NKG5 IPR032549 199 280
A6NKK0 IPR017452 41 290
A6NKQ9 IPR029034 55 165
A6NL08 IPR017452 39 288
A6NL26 IPR017452 39 287
A6NLF2 IPR017923 5 91
A6NLJ0 IPR000008 251 361
A6NLP5 IPR011990 47 184
A6NLP5 IPR013026 51 156
A6NM03 IPR017452 41 290
A6NM11 IPR029423 1468 1612
A6NM11 IPR032675 862 1023
A6NM11 IPR032754 251 319
A6NM11 IPR032754 352 432
A6NM11 IPR032754 490 629
A6NM11 IPR032754 630 684
A6NM11 IPR032754 739 767
A6NM11 IPR032754 689 739
A6NM43 IPR027409 217 374
A6NM43 IPR027410 178 216
A6NM43 IPR027410 375 397
A6NM43 IPR027413 28 151
A6NM43 IPR027413 404 524
A6NMB9 IPR027417 387 643
A6NMB9 IPR003959 428 555
A6NMS3 IPR017452 41 287
A6NMU1 IPR017452 45 297
A6NMZ7 IPR002035 18 206
A6NMZ7 IPR002035 219 411
A6NMZ7 IPR002035 990 1177
A6NMZ7 IPR002035 1183 1372
A6NMZ7 IPR002035 1747 1945
A6NMZ7 IPR002035 1957 2174
A6NMZ7 IPR002035 425 615
A6NMZ7 IPR002035 614 991
A6NNN8 IPR013057 24 421
A6NNS2 IPR016040 35 287
A6NNY8 IPR028889 78 421
A6PVS8 IPR032675 24 162
A6QL63 IPR011333 914 1022
A6QL63 IPR009072 190 251
A6QL63 IPR009072 329 400
A6QL63 IPR020683 578 753
A6QL63 IPR009072 123 191
A6XGL0 IPR004443 69 296
A6ZKI3 IPR032549 2 113
A7E2Y1 IPR027417 55 844
A7E2Y1 IPR002928 852 1930
A7E2Y1 IPR004009 32 72
A7E2Y1 IPR027401 784 844
A7MBM2 IPR000731 507 643
A7MD48 IPR029360 457 522
A8K0R7 IPR007087 197 227
A8K0R7 IPR031885 7 804
A8K2U0 IPR001599 736 826
A8K2U0 IPR002890 122 204
A8K2U0 IPR008930 955 1255
A8K2U0 IPR009048 1325 1453
A8K2U0 IPR011625 453 601
A8K2U0 IPR014756 784 904
A8K2U0 IPR019565 959 988
A8K7I4 IPR002035 304 477
A8K855 IPR011992 15 173
A8K855 IPR011992 400 469
A8K8V0 IPR001909 27 100
A8K8V0 IPR013087 200 229
A8K8V0 IPR013087 256 285
A8K8V0 IPR013087 171 201
A8K8V0 IPR013087 228 257
A8K8V0 IPR013087 284 367
A8K8V0 IPR013087 228 257
A8K979 IPR010666 595 642
A8K979 IPR012337 28 241
A8MPS7 IPR011330 5 299
A8MPX8 IPR001932 162 625
A8MT70 IPR000315 132 172
A8MTB9 IPR013783 51 133
A8MTB9 IPR013783 163 227
A8MTB9 IPR003599 41 133
A8MTB9 IPR003599 144 224
A8MTB9 IPR003599 240 314
A8MTB9 IPR013783 227 315
A8MTQ0 IPR009057 140 218
A8MUM7 IPR013320 5 139
A8MUP2 IPR029063 52 203
A8MV23 IPR023796 27 402
A8MVW5 IPR013783 33 333
A8MVW5 IPR003599 38 141
A8MVW5 IPR003599 155 235
A8MVW5 IPR003599 255 333
A8MWS1 IPR013783 218 317
A8MWS1 IPR003599 34 118
A8MWS1 IPR003599 129 209
A8MWS1 IPR003599 229 316
A8MWS1 IPR013151 33 108
A8MWS1 IPR013151 128 208
A8MWS1 IPR013151 229 305
A8MWS1 IPR013783 22 119
A8MWS1 IPR013783 118 219
A8MWY0 IPR009011 669 876
A8MWY0 IPR009030 283 454
A8MWY0 IPR009030 600 675
A8MWY0 IPR011641 100 133
A8MXD5 IPR012336 127 254
A8MXQ7 IPR020683 160 296
A8MXV4 IPR015797 11 263
A8MXY4 IPR001909 2 75
A8MXY4 IPR013087 313 342
A8MXY4 IPR013087 593 622
A8MXY4 IPR013087 481 510
A8MXY4 IPR013087 649 678
A8MXY4 IPR013087 733 762
A8MXY4 IPR013087 817 844
A8MXY4 IPR013087 229 258
A8MXY4 IPR013087 369 398
A8MXY4 IPR013087 285 314
A8MXY4 IPR013087 341 370
A8MXY4 IPR013087 537 566
A8MXY4 IPR013087 621 650
A8MXY4 IPR013087 705 734
A8MXY4 IPR013087 425 454
A8MXY4 IPR013087 761 790
A8MXY4 IPR013087 171 203
A8MXY4 IPR013087 285 314
A8MXY4 IPR013087 341 370
A8MXY4 IPR013087 537 566
A8MXY4 IPR013087 621 650
A8MXY4 IPR013087 705 734
A8MXY4 IPR013087 425 454
A8MXY4 IPR013087 761 790
A8MXY4 IPR013087 201 230
A8MXY4 IPR013087 565 594
A8MXY4 IPR013087 453 482
A8MXY4 IPR013087 509 538
A8MXY4 IPR013087 677 706
A8MXY4 IPR013087 257 286
A8MXY4 IPR013087 397 426
A8MXY4 IPR013087 789 817
A8MYU2 IPR005821 106 320
A8MYU2 IPR016040 332 496
A8MYU2 IPR016040 733 878
A8TX70 IPR002035 25 210
A8TX70 IPR002035 222 417
A8TX70 IPR002035 432 619
A8TX70 IPR002035 620 1185
A8TX70 IPR002035 1729 2168
A8TX70 IPR002035 2288 2499
A8TX70 IPR002035 1191 1386
A9YTQ3 IPR000014 114 185
A9YTQ3 IPR011598 28 89
A9Z1Z3 IPR000008 23 164
A9Z1Z3 IPR000008 183 317
A9Z1Z3 IPR000008 707 722
A9Z1Z3 IPR000008 758 892
A9Z1Z3 IPR000008 1235 1368
A9Z1Z3 IPR000008 1448 1656
A9Z1Z3 IPR000008 930 1030
A9Z1Z3 IPR012561 655 726
A9Z1Z3 IPR012968 111 182
A9Z1Z3 IPR032362 1635 1788
B0I1T2 IPR027417 3 757
B0I1T2 IPR010926 815 1017
B1AJZ9 IPR008984 11 99
B1AK53 IPR003124 648 673
B1AK53 IPR020683 8 332
B1AKI9 IPR005533 289 452
B1ANS9 IPR015943 132 543
B1ANS9 IPR015943 643 689
B1ANS9 IPR015943 741 742
B1ANS9 IPR015943 767 904
B1ANY3 IPR029155 2 246
B1APH4 IPR001909 35 108
B1APH4 IPR001909 433 448
B1APH4 IPR013087 314 343
B1APH4 IPR013087 345 356
B1APH4 IPR013087 355 387
B1APH4 IPR013087 284 315
B2RTY4 IPR000159 14 112
B2RTY4 IPR008936 2055 2251
B2RTY4 IPR027417 1062 1129
B2RTY4 IPR002219 1999 2048
B2RTY4 IPR029071 16 111
B2RTY4 IPR027417 140 1063
B2RU33 IPR020683 125 362
B2RXF5 IPR011333 2 122
B2RXF5 IPR015880 294 321
B2RXF5 IPR013087 362 418
B2RXF5 IPR013087 334 362
B2RXH2 IPR003347 143 309
B2RXH2 IPR003349 14 57
B2RXH4 IPR011333 10 132
B6A8C7 IPR003599 34 120
B6A8C7 IPR003599 131 221
B6A8C7 IPR013783 123 219
B6A8C7 IPR013783 25 123
B7U540 IPR014756 169 366
B7U540 IPR013673 3 46
B7Z6K7 IPR001909 10 91
B7Z6K7 IPR015880 92 115
B7Z6K7 IPR013087 378 409
B7Z6K7 IPR013087 464 493
B7Z6K7 IPR013087 575 605
B7Z6K7 IPR013087 744 773
B7Z6K7 IPR013087 828 850
B7Z6K7 IPR007087 120 147
B7Z6K7 IPR013087 408 437
B7Z6K7 IPR013087 492 519
B7Z6K7 IPR013087 545 575
B7Z6K7 IPR013087 604 633
B7Z6K7 IPR013087 800 828
B7Z6K7 IPR013087 237 269
B7Z6K7 IPR013087 295 324
B7Z6K7 IPR013087 660 689
B7Z6K7 IPR013087 716 745
B7Z6K7 IPR013087 408 437
B7Z6K7 IPR013087 492 519
B7Z6K7 IPR013087 604 633
B7Z6K7 IPR013087 800 828
B7Z6K7 IPR013087 268 296
B7Z6K7 IPR013087 324 379
B7Z6K7 IPR013087 688 717
B7Z6K7 IPR013087 519 547
B7Z6K7 IPR013087 632 661
B7Z6K7 IPR013087 772 801
B7Z6K7 IPR013087 436 465
B7ZBB8 IPR005036 210 350
C9JR72 IPR011333 7 103
C9JR72 IPR015915 172 423
E2RYF6 IPR028199 1646 1768
E9PAV3 IPR002715 1933 1998
O00116 IPR016164 385 655
O00116 IPR016166 167 385
O00116 IPR016167 200 265
O00116 IPR016169 266 385
O00124 IPR029071 178 268
O00139 IPR001752 221 561
O00139 IPR027417 195 553
O00141 IPR011009 74 401
O00141 IPR000961 356 431
O00142 IPR027417 50 263
O00148 IPR001650 260 421
O00148 IPR014001 63 264
O00148 IPR014014 44 72
O00148 IPR027417 33 417
O00151 IPR001478 3 94
O00151 IPR001781 256 317
O00151 IPR006643 138 163
O00151 IPR031847 138 233
O00159 IPR027417 40 786
O00159 IPR010926 874 1059
O00160 IPR001452 1035 1098
O00160 IPR027417 5 736
O00160 IPR010926 717 917
O00167 IPR006545 267 537
O00167 IPR023214 270 280
O00167 IPR023214 421 522
O00170 IPR001179 29 90
O00170 IPR011990 174 323
O00170 IPR013026 265 298
O00175 IPR001811 26 113
O00178 IPR027417 158 410
O00178 IPR009000 391 482
O00178 IPR009001 486 574
O00182 IPR013320 9 154
O00182 IPR013320 222 355
O00186 IPR027482 140 250
O00186 IPR027482 473 588
O00187 IPR000436 298 436
O00187 IPR000742 141 181
O00187 IPR000859 11 137
O00187 IPR000859 180 296
O00187 IPR009003 423 684
O00187 IPR001881 138 181
O00192 IPR016024 323 584
O00192 IPR016024 635 837
O00194 IPR027417 3 218
O00203 IPR016024 43 649
O00203 IPR015151 982 1092
O00203 IPR029390 811 958
O00203 IPR029394 672 801
O00204 IPR027417 25 304
O00206 IPR000157 670 839
O00206 IPR000483 579 628
O00206 IPR032675 38 255
O00206 IPR032675 268 378
O00206 IPR032675 379 475
O00206 IPR032675 476 621
O00212 IPR027417 16 191
O00213 IPR001202 243 285
O00213 IPR011993 335 512
O00213 IPR011993 528 699
O00214 IPR013320 8 152
O00214 IPR013320 180 317
O00217 IPR017896 102 170
O00219 IPR029044 73 154
O00219 IPR029044 172 414
O00220 IPR011029 354 456
O00220 IPR001368 188 229
O00220 IPR034024 129 230
O00220 IPR001368 147 188
O00221 IPR020683 256 479
O00222 IPR028082 41 504
O00222 IPR011500 512 562
O00222 IPR017978 583 857
O00232 IPR000717 300 435
O00232 IPR011991 346 426
O00233 IPR001478 118 216
O00238 IPR000472 30 105
O00238 IPR011009 180 494
O00238 IPR003605 174 204
O00241 IPR013783 13 246
O00241 IPR013783 249 347
O00241 IPR003599 39 144
O00241 IPR003599 257 349
O00253 IPR027300 87 130
O00254 IPR017452 111 358
O00268 IPR003894 590 687
O00268 IPR007900 829 1082
O00268 IPR009072 871 920
O00270 IPR017452 31 282
O00291 IPR002558 769 1012
O00291 IPR008942 32 160
O00291 IPR011417 39 304
O00291 IPR032422 482 580
O00292 IPR001111 93 204
O00292 IPR029034 240 354
O00294 IPR025659 285 542
O00295 IPR025659 270 520
O00295 IPR005398 19 238
O00300 IPR011029 207 371
O00300 IPR001368 24 62
O00300 IPR001368 64 105
O00300 IPR001368 106 142
O00300 IPR001368 145 185
O00300 IPR011641 27 80
O00300 IPR011641 134 202
O00303 IPR000555 89 221
O00303 IPR024969 244 354
O00305 IPR001452 73 216
O00305 IPR027417 208 416
O00311 IPR011009 46 572
O00321 IPR011991 216 327
O00322 IPR008952 128 228
O00329 IPR000008 309 486
O00329 IPR029071 106 285
O00329 IPR011009 678 1041
O00329 IPR016024 482 685
O00329 IPR003113 16 108
O00330 IPR000089 56 132
O00330 IPR001078 274 500
O00330 IPR004167 179 224
O00330 IPR011053 56 144
O00330 IPR023213 262 500
O00337 IPR002668 184 255
O00337 IPR011642 264 360
O00337 IPR011657 367 590
O00338 IPR027417 11 295
O00339 IPR000742 320 360
O00339 IPR000742 361 401
O00339 IPR000742 402 442
O00339 IPR000742 566 606
O00339 IPR000742 241 278
O00339 IPR000742 282 319
O00339 IPR000742 446 483
O00339 IPR000742 487 524
O00339 IPR000742 528 565
O00339 IPR000742 610 647
O00339 IPR001881 283 319
O00339 IPR001881 484 524
O00339 IPR001881 525 565
O00339 IPR001881 242 278
O00339 IPR001881 320 360
O00339 IPR001881 361 401
O00339 IPR001881 402 442
O00339 IPR001881 443 483
O00339 IPR001881 566 606
O00339 IPR001881 607 647
O00339 IPR002035 46 243
O00339 IPR002035 611 839
O00339 IPR009030 240 565
O00339 IPR019466 908 954
O00339 IPR026823 423 445
O00358 IPR011991 48 147
O00391 IPR012336 30 157
O00391 IPR012336 180 247
O00391 IPR017905 384 515
O00398 IPR017452 51 305
O00400 IPR020846 75 473
O00400 IPR020846 505 536
O00408 IPR003607 595 901
O00408 IPR029016 224 576
O00408 IPR029016 45 197
O00409 IPR011991 105 204
O00410 IPR001494 45 99
O00410 IPR016024 5 1094
O00411 IPR024075 706 791
O00411 IPR029262 401 704
O00418 IPR011009 78 329
O00418 IPR011990 537 716
O00421 IPR017452 55 300
O00423 IPR005108 185 259
O00423 IPR011047 215 681
O00423 IPR015943 262 815
O00429 IPR000375 226 509
O00429 IPR001401 1 255
O00429 IPR020850 639 735
O00429 IPR027417 1 309
O00443 IPR000008 674 849
O00443 IPR000008 1558 1681
O00443 IPR029071 355 520
O00443 IPR011009 1041 1397
O00443 IPR016024 846 1048
O00443 IPR001683 1420 1544
O00444 IPR011009 9 266
O00444 IPR000959 884 963
O00444 IPR033698 699 807
O00444 IPR033699 587 698
O00445 IPR000008 232 376
O00445 IPR001565 127 140
O00445 IPR001565 182 197
O00445 IPR001565 202 212
O00445 IPR000008 102 234
O00445 IPR001565 112 127
O00451 IPR016017 40 117
O00451 IPR016017 161 241
O00451 IPR016017 251 347
O00458 IPR006921 392 445
O00458 IPR007701 42 347
O00458 IPR016024 78 326
O00459 IPR008936 109 295
O00459 IPR000980 322 433
